DATE,DETAILS,AMOUNT,CATEGORY-1,CATEGORY-2,MODE,MODE2
20/Sep,Puri Sabzi,30,FOOD,NEED,UPI,REGULAR
20/Sep,Tea,20,FOOD,NEED,UPI,REGULAR
20/Sep,Lunch,74,FOOD,NEED,UPI,REGULAR
20/Sep,Panipuri,20,FOOD,NEED,UPI,REGULAR
20/Sep,Khajur Shake,60,FOOD,NEED,UPI,REGULAR
21/Sep,Puri Sabzi,30,FOOD,NEED,UPI,REGULAR
21/Sep,Tea,20,FOOD,NEED,UPI,REGULAR
21/Sep,Lunch (Maggie),74,FOOD,NEED,UPI,REGULAR
21/Sep,Panipuri,40,FOOD,NEED,UPI,REGULAR
21/Sep,Paratha & Sabzi,90,FOOD,NEED,UPI,REGULAR
21/Sep,Sandle Repairing,80,SELFCARE,NEED,UPI,NON-REGULAR
21/Sep,Pen x 5,200,GIVING BACK,NEED,UPI,REGULAR
22/Sep,Puri Sabzi,30,FOOD,NEED,UPI,REGULAR
22/Sep,Tea,20,FOOD,NEED,UPI,REGULAR
22/Sep,Pizza,140,FOOD,WANT,UPI,REGULAR
23/Sep,Tea,10,FOOD,NEED,UPI,REGULAR
23/Sep,Puri Sabzi,40,FOOD,NEED,UPI,REGULAR
23/Sep,Peanut Butter,165,FOOD,WANT,UPI,NON-REGULAR
23/Sep,Haldiram Sing Bhujia,52,FOOD,WANT,UPI,NON-REGULAR
23/Sep,Bonn 100% Atta Bread,50,FOOD,WANT,UPI,NON-REGULAR
23/Sep,Lunch,40,FOOD,NEED,UPI,REGULAR
23/Sep,Sugercane Juice,30,FOOD,WANT,UPI,REGULAR
